[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.41679823  0.          0.          0.58320177],[ 0.67256078  0.32743922  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.7922324  0.         0.         0.2077676],[ 0.76528786  0.23471214  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.12598674  0.          0.          0.87401326],[ 0.90948321  0.09051679  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.62540785  0.          0.          0.37459215],[ 0.88674876  0.11325124  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.09872645  0.          0.          0.90127355],[ 0.96800337  0.03199663  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.58572782  0.          0.          0.41427218],[ 0.88138091  0.11861909  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.32122934  0.          0.          0.67877066],[ 0.90095779  0.09904221  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.07020314  0.          0.          0.92979686],[ 0.95705715  0.04294285  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.31280918  0.          0.          0.68719082],[ 0.79981055  0.20018945  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.99179034  0.          0.          0.00820966],[ 0.28523313  0.71476687  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.33354384  0.          0.          0.66645616],[ 0.95947795  0.04052205  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.99821071  0.          0.          0.00178929],[ 0.75602568  0.24397432  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.71297758  0.          0.          0.28702242],[ 0.63045995  0.36954005  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.468477  0.        0.        0.531523],[ 0.79402168  0.20597832  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.59562151  0.          0.          0.40437849],[ 0.56562467  0.43437533  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.24828965  0.          0.          0.75171035],[ 0.91274603  0.08725397  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.69634775  0.          0.          0.30365225],[ 0.40943059  0.59056941  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.47542364  0.          0.          0.52457636],[ 0.9415851  0.0584149  0.         0.       ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.20018945  0.          0.          0.79981055],[ 0.83980634  0.16019366  0.          0.        ]
[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.  0.  0.  1.],[ 0.47300284  0.          0.          0.52699716],[ 0.92979686  0.07020314  0.          0.        ]
